Query	Candidate	Label
오늘 영화 안보게 됐어요	영화비 아까워요	0
오늘 영화 안보게 됐어요	오늘 너무 잼썼어요	0
오늘 영화 안보게 됐어요	아 오늘 진짜 재미있었어요	0
오늘 영화 안보게 됐어요	저 영화보느라 못봤네요	0
오늘 영화 안보게 됐어요	방금 영화 봤어요	0
오늘 영화 안보게 됐어요	영화 안 봤어요	>
오늘 영화 안보게 됐어요	저 오늘 비정상 안봤어요	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	이런말 해주는건 너밖에 없다 진짜	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	그렇게 말해주는건 너밖에 없어	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	역시 내맘 알아주는건 너밖에 없어	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	이런말쓰는거 너밖에 없어	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	나한테는 너하나뿐이야 진짜	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	나한테는 진짜 너밖에 없는데	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	넌 내말 들어준 순간 한순간도 없어	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	감싸주는건 너밖에 없다	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	그말밖에 할말이 없다	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	진짜로 난 니밖에 없어	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	그말밖에 없다	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	진심이라곤 눈꼽만큼도 없네	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	아무말도 할수없게 만든다 진짜	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	집착의끝이다 정말	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	그렇게 너 부린다는 생각 가진적없어	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	그렇게 말하니까 할 말이 없다	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	그렇게 말하니까 나도 할말이 없어	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	라고 마음에도 없는소리 N	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	내말은 안중에도 없그만	0
이렇게 내 말 들어주는건 진짜 너밖에 없다	맨날 마음에도 없는말한다 정말	0
날씨 좋네요	날씨가 좋네요	1
날씨 좋네요	날씨 정말 좋네요	1
날씨 좋네요	날씨 좋으네요	1
날씨 좋네요	날씨가 진짜 좋네요	1
날씨 좋네요	날씨 좋다요	1
날씨 좋네요	밖에 날씨 좋네요	1
날씨 좋네요	날씨가 참 좋네요	1
날씨 좋네요	아 날씨 좋네요	1
날씨 좋네요	날씨 너무 좋으네요	1
날씨 좋네요	날씨가 무척 좋네요	1
날씨 좋네요	날씨 좋네요 따뜻하고	<
날씨 좋네요	날씨 괜찮네요	1
날씨 좋네요	오늘 날씨 대박 하 좋네여	1
날씨 좋네요	오늘 날씨 진짜 따뜻하네요	0
날씨 좋네요	날씨가 풀리니 좋네요	0
날씨 좋네요	오늘은 날씨가 좋네요	1
날씨 좋네요	날씨 좋네요 오늘	1
날씨 좋네요	날씨 대박 좋아요	1
날씨 좋네요	날씨 따스하니 좋네요	<
날씨 좋네요	밖에 비오니 좋네요	0
잘 부탁해	잘 부탁해 나도	1
잘 부탁해	자알 부탁해	1
잘 부탁해	나 잘 부탁해	1
잘 부탁해	나중에 잘부탁해	<
잘 부탁해	이번에 잘 부탁해	<
잘 부탁해	자알부탁해봐	0
잘 부탁해	잘 부탁행	1
잘 부탁해	잘 부탁해요	1
잘 부탁해	말씀 잘 부탁해	<
잘 부탁해	잘하고놔	0
잘 부탁해	제발잘해줘	0
잘 부탁해	그럼 잘 부탁해	1
잘 부탁해	잘 지키장	0
잘 부탁해	앞으로 잘부탁해여	1
잘 부탁해	아 잘부탁해요	1
잘 부탁해	나도 수중이 잘부탁해	<
잘 부탁해	모자라도 잘부탁해	<
잘 부탁해	좀만 잘해줘라	0
잘 부탁해	기도빨 잘 받을게	0
오늘 야근할 듯	오늘 야근좀 할듯	1
오늘 야근할 듯	오늘도 야근할듯	<
오늘 야근할 듯	오늘 야근일 듯	1
오늘 야근할 듯	오늘 야근해야할듯	1
오늘 야근할 듯	오늘 야근일듯	1
오늘 야근할 듯	오늘 야근 할듯요	1
오늘 야근할 듯	오늘두 야근해야할듯	<
오늘 야근할 듯	오늘 진짜 야근할듯	1
오늘 야근할 듯	오늘 야근 예상	1
오늘 야근할 듯	오늘 야근해야혀	1
오늘 야근할 듯	오늘 야근 예정	1
오늘 야근할 듯	오늘 일늦게끝날듯	1
오늘 야근할 듯	오늘 야근근	1
오늘 야근할 듯	오늘도 야근 예정	<
오늘 야근할 듯	오늘은 야근을 할지도	1
오늘 야근할 듯	오늘은 야근삘	1
오늘 야근할 듯	오늘도 야근임	<
오늘 야근할 듯	나 오늘 야근해야 할 듯	1
오늘 야근할 듯	오늘도 야근야근	<
오늘 야근할 듯	사무실은 오늘 야근할듯	0
뭐해?	뭐해 어?	.
뭐해?	뭐하야?	.
뭐해?	뭐해 이?	.
뭐해?	어 뭐해?	1
뭐해?	뭐 뭐해?	1
뭐해?	? 뭐해?	1
뭐해?	야 뭐해?	1
뭐해?	뚱쓰 뭐해?	1
뭐해?	뭐하구있?	1
뭐해?	뭐해뭐해에?	1
뭐해?	엥 뭐해?	1
뭐해?	머하고있어떠?	0
뭐해?	뭐하구잏 었어?	0
뭐해?	뭐하구 있나?	1
뭐해?	뭐하고있더?	1
뭐해?	지미 뭐해?	1
뭐해?	스더뭐해	0
뭐해?	뭐하신가?	0
뭐해?	형은 지금 뭐해?	?
뭐해?	지 뭐해?	0
전 안 사랑해요	나는 안 사랑해요	1
전 안 사랑해요	나 안사랑해요	1
전 안 사랑해요	저는 완전 사랑해요	0
전 안 사랑해요	난안사랑해요	1
전 안 사랑해요	하나도 안사랑해요	1
전 안 사랑해요	전 안좋아요 안사랑해요	1
전 안 사랑해요	난 너무 사랑해요	0
전 안 사랑해요	난 완전 사랑해요	0
전 안 사랑해요	아 네 안사랑해요	1
전 안 사랑해요	니마 사랑해요	0
전 안 사랑해요	나는 사랑해 꾸기	0
전 안 사랑해요	난 그대라서 사랑해요	0
전 안 사랑해요	더 사랑해야해요 난	0
전 안 사랑해요	세상에서 젤로 사랑해요	0
전 안 사랑해요	난 핵 사랑해요	0
전 안 사랑해요	제가 많이 사랑해요	0
전 안 사랑해요	저는어 더사랑해여	0
전 안 사랑해요	저는 더 많이 사랑해요	0
전 안 사랑해요	많이 사랑해죠	0
날씨 너무 덥지 않아요?	날씨 덥지 않아요?	1
날씨 너무 덥지 않아요?	날씨 엄청 따뜻하지 않아요?	1
날씨 너무 덥지 않아요?	날씨 엄청 좋던데 덥지않아요?	<
날씨 너무 덥지 않아요?	밖에 날씨 좋아보이는데 추워요?	0
날씨 너무 덥지 않아요?	날씨 안더워요?	1
날씨 너무 덥지 않아요?	날씨 덥진않아요?	1
날씨 너무 덥지 않아요?	오늘 넘춥지않아요?	0
날씨 너무 덥지 않아요?	흠 날씨가 너무 덥지요?	1
날씨 너무 덥지 않아요?	바람 불고 춥지 않아요?	0
날씨 너무 덥지 않아요?	오늘 덥지않아요?	1
날씨 너무 덥지 않아요?	오늘도 덥지 않아요?	1
날씨 너무 덥지 않아요?	안추워요? 날씨	0
날씨 너무 덥지 않아요?	날씨가 추워요?	0
날씨 너무 덥지 않아요?	지금 날씨에 타면 되게 춥지않아요?	0
날씨 너무 덥지 않아요?	오늘 많이 춥지는 않아요?	0
날씨 너무 덥지 않아요?	오늘 날씨 엄청 좋던데 많이 더워여?	0
날씨 너무 덥지 않아요?	날씨 별루 안좋지 않아요?	0
날씨 너무 덥지 않아요?	밖에 많이 덥지않나요?	1
날씨 너무 덥지 않아요?	오늘은 많이 안 춥지 않아요?	0
날씨 너무 덥지 않아요?	날씨가 상당히 덥죠?	1
일어났어?	일어 났어?	1
일어났어?	일어날어?	.
일어났어?	? 일어났어?	1
일어났어?	에 일어났어?	1
일어났어?	류 일어났어?	1
일어났어?	내 일어 났어?	.
일어났어?	다 일어났어?	0
일어났어?	깅 일어났어?	.
일어났어?	자가 일어났어?	.
일어났어?	일어낫러?	.
일어났어?	잉 일어났어?	1
일어났어?	어? 일어났어?	1
일어났어?	일어났어써?	1
일어났어?	오 일어났어?	1
일어났어?	와 일어났어?	1
일어났어?	오잉 일어났어?	1
일어났어?	자고 일어난겨?	<
일어났어?	아고 일어났어?	1
일어났어?	제일어났어?	.
일어났어?	일어난겨?	1
그쪽 이름이 뭔가요?	태안에 사시는거예요?	0
그쪽 이름이 뭔가요?	집도 회사 근처에요 혹시?	0
그쪽 이름이 뭔가요?	회사에서 집이 먼가요?	0
그쪽 이름이 뭔가요?	뭐 산골마을가세요?	0
그쪽 이름이 뭔가요?	일부러 가까운데 집 구하신거예요?	0
그쪽 이름이 뭔가요?	평택명물이요?	0
그쪽 이름이 뭔가요?	혹 통도사스님이세요?	0
그쪽 이름이 뭔가요?	어느 시장을 말하시는?	0
그쪽 이름이 뭔가요?	무슨 동에 사세요?	0
그쪽 이름이 뭔가요?	시흥에 사시는거에요?	0
그쪽 이름이 뭔가요?	인천분이세요?	0
그쪽 이름이 뭔가요?	도시가스회사요?	0
그쪽 이름이 뭔가요?	형 사는곳이 평촌이구여?	0
그쪽 이름이 뭔가요?	이곳이 어디란말이요?	0
그쪽 이름이 뭔가요?	경기도랑 청주가 먼가요?	0
그쪽 이름이 뭔가요?	방배동 옆엔 무엇이 있나요?	0
그쪽 이름이 뭔가요?	원래 집이 함평이세요?	0
그쪽 이름이 뭔가요?	누구 파크뷰가요?	0
그쪽 이름이 뭔가요?	그쪽집도 그래요?	0
그쪽 이름이 뭔가요?	계양구에 이사오신거에요?	0
남자친구 있어?	여자친구 있어?	0
남자친구 있어?	다 남자친구있어?	0
남자친구 있어?	남자친구 있나?	1
남자친구 있어?	친구 남자친구있어?	0
남자친구 있어?	남자친구도 있어?	0
남자친구 있어?	그친구 여자친구 있져?	0
남자친구 있어?	다 여자친구 있어?	0
남자친구 있어?	여자친구 있지?	0
남자친구 있어?	남자친구 있니?	1
남자친구 있어?	남자친구있어도?	0
남자친구 있어?	친구 다 남자들이야?	0
남자친구 있어?	남자애들도 있어?	0
남자친구 있어?	여자칭구가 있었어?	0
남자친구 있어?	남자친구 있댔지?	1
남자친구 있어?	친구들은 여자친구 있어?	0
남자친구 있어?	친구는 여자친구있나?	0
남자친구 있어?	애 있는 친구있나?	0
남자친구 있어?	내 친구들 있어?	0
남자친구 있어?	너 친구 있어?	0
남자친구 있어?	여자친구야?	0
안녕?	안녕 안녕?	1
안녕?	안녕 아?	.
안녕?	오 안녕?	1
안녕?	안녕하?	.
안녕?	아 안녕?	1
안녕?	악 안녕?	.
안녕?	오잉 안녕?	1
안녕?	쎄미 안녕?	1
안녕?	안녕? N	1
안녕?	안녕 안녕 안녕?	1
안녕?	그래 안녕?	?
안녕?	안 녕안녕	1
안녕?	안녕히?	0
안녕?	하이 헬로?	1
안녕?	안녕하세요?	1
안녕?	안녕 자깅?	1
안녕?	안녕수?	.
안녕?	안녕핫	.
안녕?	안뇽 N	.
안녕?	안녕 아어	.
넌 눈치가 왤케 없냐?	넌왜이케 눈치가 없냐	1
넌 눈치가 왤케 없냐?	너가 왜 눈치가 없어?	0
넌 눈치가 왤케 없냐?	나는 어떤점에서 눈치가 없어?	0
넌 눈치가 왤케 없냐?	너 눈치없냐	0
넌 눈치가 왤케 없냐?	니 눈치 음나?	0
넌 눈치가 왤케 없냐?	넌 나에대한 예의가 없냐?	0
넌 눈치가 왤케 없냐?	근데 내가 눈치가 없나?	0
넌 눈치가 왤케 없냐?	너난테 먼불만있어?	0
넌 눈치가 왤케 없냐?	넌 참 눈치도 업고 생각도 없냐	0
넌 눈치가 왤케 없냐?	음 내가 눈치많이 없니	0
넌 눈치가 왤케 없냐?	내가 그정도로 눈치없음?	0
넌 눈치가 왤케 없냐?	왜이리 눈치가 없어?	1
넌 눈치가 왤케 없냐?	눈치없는게?	0
넌 눈치가 왤케 없냐?	니 내한테 뭐 불만있나	0
넌 눈치가 왤케 없냐?	그런데 왜 말이 없냐?	0
넌 눈치가 왤케 없냐?	불만이라도 있나	0
넌 눈치가 왤케 없냐?	신경쓸틈이 없나?	0
넌 눈치가 왤케 없냐?	난 진짜 눈치가 없는건가	0
넌 눈치가 왤케 없냐?	너는 뭐 버릇 없어?	0
넌 눈치가 왤케 없냐?	불만이라도 있어?	0
뭐하고 있어요?	뭐 하고 있어요?	1
뭐하고 있어요?	뭐하고있어?요?	1
뭐하고 있어요?	뭐하고 있어 어요?	1
뭐하고 있어요?	뭐하고 있 요?	1
뭐하고 있어요?	리하 뭐하고 있어요?	1
뭐하고 있어요?	뭐하고 있으요?	1
뭐하고 있어요?	뭐하구 있어요?	1
뭐하고 있어요?	머하고 있으요?	1
뭐하고 있어요?	뭐 하고있어영?	1
뭐하고 있어요?	부야는 뭐하고있어요?	1
뭐하고 있어요?	? 뭐해요?	1
뭐하고 있어요?	응 뭐 하고 있어요?	1
뭐하고 있어요?	뭐 하고 있어요 달?	1
뭐하고 있어요?	뭐하구있어써요?	1
뭐하고 있어요?	모하고 있써요?	1
뭐하고 있어요?	뭐하고있어여 지금?	1
뭐하고 있어요?	뭐하고 있으셔요?	1
뭐하고 있어요?	머하고있니요?	1
뭐하고 있어요?	지금은 모하고 있어용?	1
뭐하고 있어요?	자기 무엇을 하고 있어요?	1
저 오늘 고백했는데 차였어요	전 택시기사님이 고백했어요	0
저 오늘 고백했는데 차였어요	나 은근 밝힌다고 미리 얘기했어요	0
저 오늘 고백했는데 차였어요	운전강사님에게 한소리 들었었어요	0
저 오늘 고백했는데 차였어요	어제 그 결혼했어요	0
저 오늘 고백했는데 차였어요	저사람한일언니가캡처했어요	0
저 오늘 고백했는데 차였어요	어제 다른 여자분과 통화했었어요	0
저 오늘 고백했는데 차였어요	이분 어제 소개팅하셨답니다	0
저 오늘 고백했는데 차였어요	형 오늘 욕 N번 했어요	0
저 오늘 고백했는데 차였어요	제가 어제 말했어요	0
저 오늘 고백했는데 차였어요	제가 어제 고백받았는데	0
저 오늘 고백했는데 차였어요	갑자기 한가지가 생겼어요	0
저 오늘 고백했는데 차였어요	결국 고백했어요	0
저 오늘 고백했는데 차였어요	나 소개팅 못했어요	0
저 오늘 고백했는데 차였어요	헐 갑자기 고백받았어요	0
저 오늘 고백했는데 차였어요	우리가 놓친 부분이 있었어요	0
저 오늘 고백했는데 차였어요	아 저 형 친구 분께 얘기 들었어요	0
저 오늘 고백했는데 차였어요	에서 저 결혼했어요 보기	0
저 오늘 고백했는데 차였어요	저 지금까지 연예 두번했어요	0
저 오늘 고백했는데 차였어요	친구한테 까였어요	0
저 오늘 고백했는데 차였어요	저 방방언니한테 또 얘기들었어요	0
별로 밥생각이 없어요	별로 밥생각 없어요	1
별로 밥생각이 없어요	밥생각이 별로 없어요	1
별로 밥생각이 없어요	그냥 밥생각이 별로 없어요	1
별로 밥생각이 없어요	별로 밥생각이 없네요	1
별로 밥생각이 없어요	빵먹어서 별로 생각이 없어요	<
별로 밥생각이 없어요	밥생각도 없어요	1
별로 밥생각이 없어요	먹을 생각이 없어요	1
별로 밥생각이 없어요	별로 먹고싶은 생각이 없어요	1
별로 밥생각이 없어요	그냥 밥생각이 없네요	1
별로 밥생각이 없어요	별로 먹고싶은마음 없어요	1
별로 밥생각이 없어요	밥 먹고 싶지 않아요	1
별로 밥생각이 없어요	아무것도 먹을 생각이 안나요	1
별로 밥생각이 없어요	마땅히 먹을게없어요	0
별로 밥생각이 없어요	점심은 생각이 없어요	<
별로 밥생각이 없어요	김밥먹어서 생각이 없어요	<
별로 밥생각이 없어요	도시락 말곤 먹을게 없어요	0
별로 밥생각이 없어요	사실 딱히 먹을 것도 없어요	0
별로 밥생각이 없어요	별루밥생각없었어요	0
별로 밥생각이 없어요	밥이 없으요	0
나 지루해	나 좀 지루해	1
나 지루해	나지루해 죽겠어	1
나 지루해	하 지루해	1
나 지루해	으으 지루해	1
나 지루해	지루해	1
나 지루해	나까지 지루하당	<
나 지루해	지루해 후	1
나 지루해	지루해다	.
나 지루해	흐아 지루해	1
나 지루해	지루하다	1
나 지루해	아 오늘 지루해	<
나 지루해	지루해 완전	1
나 지루해	지루하다 지루햄	1
나 지루해	지루해 흐아	1
나 지루해	지루해하는중	0
나 지루해	아이구 지루해	1
나 지루해	으앙 지루해	1
나 지루해	으 난지루	1
나 지루해	수업 완전 지루해	<
나 지루해	지루하다 지루해 흐헝	1
요즘 체력이 너무 약해진 것 같아요	체력저질이된것같아요	1
요즘 체력이 너무 약해진 것 같아요	체력이 급격히떨어지고있어요	1
요즘 체력이 너무 약해진 것 같아요	요즘 체력이 너무 딸려요	1
요즘 체력이 너무 약해진 것 같아요	요즘 체력이 딸려서 그런거같아여	0
요즘 체력이 너무 약해진 것 같아요	체력고갈 느낌알꺼같아요	0
요즘 체력이 너무 약해진 것 같아요	체력이 좀 많이 딸려요	0
요즘 체력이 너무 약해진 것 같아요	체력이 아주아주 저질이에요	0
요즘 체력이 너무 약해진 것 같아요	요즘 체력이 옛날같지가 않아요	
요즘 체력이 너무 약해진 것 같아요	요즘 체력이 안돼요	1
요즘 체력이 너무 약해진 것 같아요	체력이 안될거같아요	0
요즘 체력이 너무 약해진 것 같아요	점점 몸이 망가져요	
요즘 체력이 너무 약해진 것 같아요	체력이 진짜딸려요	
요즘 체력이 너무 약해진 것 같아요	근데 넘 열심히 일해서 체력이 딸려요	
요즘 체력이 너무 약해진 것 같아요	체력안좋아요	0
요즘 체력이 너무 약해진 것 같아요	요즘 체력이 딸리네요	1
요즘 체력이 너무 약해진 것 같아요	그냥 체력부족이에요	0
요즘 체력이 너무 약해진 것 같아요	막 몸이 힘든건 아니었어요	0
요즘 체력이 너무 약해진 것 같아요	전 체력정말 저질이예요	0
요즘 체력이 너무 약해진 것 같아요	체력이 제법 약해요	0
요즘 체력이 너무 약해진 것 같아요	요즘 체력이 방전이예요 약간	1
왜 자꾸 거짓말 하세요?	왜 거짓말이에요?	
왜 자꾸 거짓말 하세요?	거짓말을 왜하죠?	
왜 자꾸 거짓말 하세요?	저 왜 거짓말쟁이 됐어요?	0
왜 자꾸 거짓말 하세요?	왜 거짓말이라고 생각하죠?	0
왜 자꾸 거짓말 하세요?	?왜 거짓말이에요	
왜 자꾸 거짓말 하세요?	왜 거짓말치세요 정말?	
왜 자꾸 거짓말 하세요?	왜요 거짓말같아요?	0
왜 자꾸 거짓말 하세요?	왜구라녀에요?	.
왜 자꾸 거짓말 하세요?	어왜거짓말 이에요?	
왜 자꾸 거짓말 하세요?	왜 거짓말한다고 생각해요?	0
왜 자꾸 거짓말 하세요?	왜구라에요?	
왜 자꾸 거짓말 하세요?	아왜거짓말해요	
왜 자꾸 거짓말 하세요?	왜 날 못 믿어주시나용?	0
왜 자꾸 거짓말 하세요?	왜 구라라고 생각하신거여요?	0
왜 자꾸 거짓말 하세요?	왜 거짓말을 치시나요	
왜 자꾸 거짓말 하세요?	왜그런지 모르세요?	0
왜 자꾸 거짓말 하세요?	왜 거짓말 했어요	
왜 자꾸 거짓말 하세요?	왜 갑자기 그러시죠?	0
왜 자꾸 거짓말 하세요?	자꾸 거짓말할래요?	0
왜 자꾸 거짓말 하세요?	왜 갑자기 거짓말을 해?	0
내일 아침에 잘 일어날 수 있을까요?	낼 일찍일어날수있을까요?	1
내일 아침에 잘 일어날 수 있을까요?	내일 일찍 일어날 수 있겠어요?	0
내일 아침에 잘 일어날 수 있을까요?	낼 일찍일어날까요?	0
내일 아침에 잘 일어날 수 있을까요?	내일 N시에 일어날수있겠죠?	<
내일 아침에 잘 일어날 수 있을까요?	일찍 잘 수 있을까요?	0
내일 아침에 잘 일어날 수 있을까요?	내일 혹시 깨워줄 수 있어요?	0
내일 아침에 잘 일어날 수 있을까요?	낼 잘일어날수있죠?	0
내일 아침에 잘 일어날 수 있을까요?	내일 일어날수 있겠어요?	0
내일 아침에 잘 일어날 수 있을까요?	내일 일찍 일어 나야죠?	0
내일 아침에 잘 일어날 수 있을까요?	내일 일어날 수 있는거 죠?	0
내일 아침에 잘 일어날 수 있을까요?	내일도 N시반에 깨워주면 돼요?	0
내일 아침에 잘 일어날 수 있을까요?	내일 일어날 수 있겠어?	0
내일 아침에 잘 일어날 수 있을까요?	내일 N시에 깨워요?	0
내일 아침에 잘 일어날 수 있을까요?	내일 N시쯤 일어날꺼죠?	0
내일 아침에 잘 일어날 수 있을까요?	내일은 일찍 일어날수있겠지요?	1
내일 아침에 잘 일어날 수 있을까요?	내일 일찍 일어날수있겠어요?	0
내일 아침에 잘 일어날 수 있을까요?	내일 일찍 일어나셔야 되는거죠?	0
내일 아침에 잘 일어날 수 있을까요?	내일 일어날수있으까?	1
내일 아침에 잘 일어날 수 있을까요?	낼 일어날수있지?	0
내일 아침에 잘 일어날 수 있을까요?	내일 깨워두릴까요?	0
쓸데없는 소리 하지마	쓸데없는 소리마	1
쓸데없는 소리 하지마	쓸데없는소리로 치부하지마	0
쓸데없는 소리 하지마	쓸데없는 소리 하지마라	1
쓸데없는 소리 하지마	쓸대없는 소리하지마	1
쓸데없는 소리 하지마	또 쓸데없는 소리마	<
쓸데없는 소리 하지마	그러니까 쓸데없는소리하지마	<
쓸데없는 소리 하지마	복에겨운소리하지마	0
쓸데없는 소리 하지마	그럼 쓸데없는 소리하지마	<
쓸데없는 소리 하지마	또 쓸데없는 소리할꺼면 하지마	<
쓸데없는 소리 하지마	말이나 함부로 하지마	0
쓸데없는 소리 하지마	말도 그리하지마	0
쓸데없는 소리 하지마	몰아붙이지마	0
쓸데없는 소리 하지마	정없게 그런소리좀 하지마	0
쓸데없는 소리 하지마	그런소리하지도 말아	0
쓸데없는 소리 하지마	내한테 그런소리하지마	0
쓸데없는 소리 하지마	쓸데없이 그러지마	0
쓸데없는 소리 하지마	어이없게 하지마	0
쓸데없는 소리 하지마	무시는하지마	0
쓸데없는 소리 하지마	짜는 소리 그만해	0
쓸데없는 소리 하지마	괜한소리하지마	0
두근두근	으 두근두근	1
두근두근	으으 두근두근	1
두근두근	또 두근두근	<
두근두근	잌 두근두근	1
두근두근	두근두근도	.
두근두근	크크 두근두근	1
두근두근	아 두근두근	1
두근두근	으아 두근두근	1
두근두근	두근두근으악	1
두근두근	두근두근 크크	1
두근두근	힝 두근두근	1
두근두근	윽 두근두근	1
두근두근	두근두근 한다잉	1
두근두근	앗 떨려	1
두근두근	와 두근두근	1
두근두근	두근두근씩이나	0
두근두근	후 긴장되는군	1
두근두근	히히 두근두근한다	1
두근두근	잉 두근두근	1
